text,label
The Senate passed a bipartisan infrastructure bill with a vote of 69 to 30 after months of negotiations between Democrats and Republicans.,1
Report: The Senate passed a bipartisan infrastructure bill with a vote of 69 to 30 after months of negotiations between Democrats and Republicans.,1
The Senate passed a bipartisan infrastructure bill with a vote of 69 to 30 after months of negotiations between Democrats and Republicans. Sources confirm this story.,1
"The Federal Reserve announced it would raise interest rates by 0.25 percentage points, citing persistent inflation and a strong labor market.",1
"Report: The Federal Reserve announced it would raise interest rates by 0.25 percentage points, citing persistent inflation and a strong labor market.",1
"The Federal Reserve announced it would raise interest rates by 0.25 percentage points, citing persistent inflation and a strong labor market. Sources confirm this story.",1
President signed an executive order aimed at reducing prescription drug prices for Medicare recipients by allowing negotiation with pharmaceutical companies.,1
Report: President signed an executive order aimed at reducing prescription drug prices for Medicare recipients by allowing negotiation with pharmaceutical companies.,1
President signed an executive order aimed at reducing prescription drug prices for Medicare recipients by allowing negotiation with pharmaceutical companies. Sources confirm this story.,1
The Supreme Court ruled 6-3 that employers cannot discriminate based on sexual orientation or gender identity under Title VII of the Civil Rights Act.,1
Report: The Supreme Court ruled 6-3 that employers cannot discriminate based on sexual orientation or gender identity under Title VII of the Civil Rights Act.,1
The Supreme Court ruled 6-3 that employers cannot discriminate based on sexual orientation or gender identity under Title VII of the Civil Rights Act. Sources confirm this story.,1
"The Department of Labor reported that the economy added 263,000 jobs in November, exceeding economists' expectations of 200,000 new positions.",1
"Report: The Department of Labor reported that the economy added 263,000 jobs in November, exceeding economists' expectations of 200,000 new positions.",1
"The Department of Labor reported that the economy added 263,000 jobs in November, exceeding economists' expectations of 200,000 new positions. Sources confirm this story.",1
"Congress approved a $1.7 trillion spending bill to fund the government through September, averting a shutdown days before the deadline.",1
"Report: Congress approved a $1.7 trillion spending bill to fund the government through September, averting a shutdown days before the deadline.",1
"Congress approved a $1.7 trillion spending bill to fund the government through September, averting a shutdown days before the deadline. Sources confirm this story.",1
The Environmental Protection Agency finalized new rules limiting methane emissions from oil and gas operations across the country.,1
Report: The Environmental Protection Agency finalized new rules limiting methane emissions from oil and gas operations across the country.,1
The Environmental Protection Agency finalized new rules limiting methane emissions from oil and gas operations across the country. Sources confirm this story.,1
"The House passed legislation to codify same-sex marriage protections with bipartisan support, sending the bill to the President's desk.",1
"Report: The House passed legislation to codify same-sex marriage protections with bipartisan support, sending the bill to the President's desk.",1
"The House passed legislation to codify same-sex marriage protections with bipartisan support, sending the bill to the President's desk. Sources confirm this story.",1
NATO allies agreed to increase defense spending targets during an emergency summit in response to growing geopolitical tensions.,1
Report: NATO allies agreed to increase defense spending targets during an emergency summit in response to growing geopolitical tensions.,1
NATO allies agreed to increase defense spending targets during an emergency summit in response to growing geopolitical tensions. Sources confirm this story.,1
The Federal Aviation Administration grounded all domestic flights temporarily after a system outage affected the Notice to Air Missions database.,1
Report: The Federal Aviation Administration grounded all domestic flights temporarily after a system outage affected the Notice to Air Missions database.,1
The Federal Aviation Administration grounded all domestic flights temporarily after a system outage affected the Notice to Air Missions database. Sources confirm this story.,1
"The Census Bureau reported that the U.S. population grew by 0.4 percent last year, the slowest rate of growth since the nation's founding.",1
"Report: The Census Bureau reported that the U.S. population grew by 0.4 percent last year, the slowest rate of growth since the nation's founding.",1
"The Census Bureau reported that the U.S. population grew by 0.4 percent last year, the slowest rate of growth since the nation's founding. Sources confirm this story.",1
The Department of Justice appointed a special counsel to oversee investigations into the former president's handling of classified documents.,1
Report: The Department of Justice appointed a special counsel to oversee investigations into the former president's handling of classified documents.,1
The Department of Justice appointed a special counsel to oversee investigations into the former president's handling of classified documents. Sources confirm this story.,1
The Treasury Department imposed new sanctions on Russian oligarchs and entities linked to the country's defense sector.,1
Report: The Treasury Department imposed new sanctions on Russian oligarchs and entities linked to the country's defense sector.,1
The Treasury Department imposed new sanctions on Russian oligarchs and entities linked to the country's defense sector. Sources confirm this story.,1
The World Health Organization declared that COVID-19 no longer constitutes a public health emergency of international concern.,1
Report: The World Health Organization declared that COVID-19 no longer constitutes a public health emergency of international concern.,1
The World Health Organization declared that COVID-19 no longer constitutes a public health emergency of international concern. Sources confirm this story.,1
The United Nations General Assembly voted overwhelmingly to condemn the invasion and demand the withdrawal of military forces.,1
Report: The United Nations General Assembly voted overwhelmingly to condemn the invasion and demand the withdrawal of military forces.,1
The United Nations General Assembly voted overwhelmingly to condemn the invasion and demand the withdrawal of military forces. Sources confirm this story.,1
"NASA's James Webb Space Telescope captured its first full-color image of deep space, revealing thousands of galaxies in unprecedented detail.",1
"Report: NASA's James Webb Space Telescope captured its first full-color image of deep space, revealing thousands of galaxies in unprecedented detail.",1
"NASA's James Webb Space Telescope captured its first full-color image of deep space, revealing thousands of galaxies in unprecedented detail. Sources confirm this story.",1
Researchers at MIT developed a new desalination system powered by solar energy that can produce drinking water at a fraction of current costs.,1
Report: Researchers at MIT developed a new desalination system powered by solar energy that can produce drinking water at a fraction of current costs.,1
Researchers at MIT developed a new desalination system powered by solar energy that can produce drinking water at a fraction of current costs. Sources confirm this story.,1
The FDA approved a new Alzheimer's drug after clinical trials showed it slowed cognitive decline by 27 percent over 18 months.,1
Report: The FDA approved a new Alzheimer's drug after clinical trials showed it slowed cognitive decline by 27 percent over 18 months.,1
The FDA approved a new Alzheimer's drug after clinical trials showed it slowed cognitive decline by 27 percent over 18 months. Sources confirm this story.,1
"SpaceX successfully launched and landed a Starship prototype for the first time, marking a major milestone in reusable rocket technology.",1
"Report: SpaceX successfully launched and landed a Starship prototype for the first time, marking a major milestone in reusable rocket technology.",1
"SpaceX successfully launched and landed a Starship prototype for the first time, marking a major milestone in reusable rocket technology. Sources confirm this story.",1
A study published in Nature found that global temperatures have risen 1.1 degrees Celsius above pre-industrial levels due to greenhouse gas emissions.,1
Report: A study published in Nature found that global temperatures have risen 1.1 degrees Celsius above pre-industrial levels due to greenhouse gas emissions.,1
A study published in Nature found that global temperatures have risen 1.1 degrees Celsius above pre-industrial levels due to greenhouse gas emissions. Sources confirm this story.,1
Scientists at CERN announced the discovery of a new particle consistent with predictions from the Standard Model of physics.,1
Report: Scientists at CERN announced the discovery of a new particle consistent with predictions from the Standard Model of physics.,1
Scientists at CERN announced the discovery of a new particle consistent with predictions from the Standard Model of physics. Sources confirm this story.,1
"Google's DeepMind AI system AlphaFold predicted the 3D structure of nearly every known protein, revolutionizing biological research.",1
"Report: Google's DeepMind AI system AlphaFold predicted the 3D structure of nearly every known protein, revolutionizing biological research.",1
"Google's DeepMind AI system AlphaFold predicted the 3D structure of nearly every known protein, revolutionizing biological research. Sources confirm this story.",1
"Electric vehicle sales surpassed 10 million units globally for the first time, driven by falling battery costs and government incentives.",1
"Report: Electric vehicle sales surpassed 10 million units globally for the first time, driven by falling battery costs and government incentives.",1
"Electric vehicle sales surpassed 10 million units globally for the first time, driven by falling battery costs and government incentives. Sources confirm this story.",1
"Researchers successfully used CRISPR gene editing to treat sickle cell disease in clinical trials, with patients showing lasting improvements.",1
"Report: Researchers successfully used CRISPR gene editing to treat sickle cell disease in clinical trials, with patients showing lasting improvements.",1
"Researchers successfully used CRISPR gene editing to treat sickle cell disease in clinical trials, with patients showing lasting improvements. Sources confirm this story.",1
The World Meteorological Organization confirmed that the past eight years were the warmest on record globally.,1
Report: The World Meteorological Organization confirmed that the past eight years were the warmest on record globally.,1
The World Meteorological Organization confirmed that the past eight years were the warmest on record globally. Sources confirm this story.,1
"Apple announced quarterly revenue of $117 billion, driven by strong iPhone sales and growth in its services division.",1
"Report: Apple announced quarterly revenue of $117 billion, driven by strong iPhone sales and growth in its services division.",1
"Apple announced quarterly revenue of $117 billion, driven by strong iPhone sales and growth in its services division. Sources confirm this story.",1
"Microsoft acquired the gaming company for $68.7 billion, making it the largest deal in gaming industry history.",1
"Report: Microsoft acquired the gaming company for $68.7 billion, making it the largest deal in gaming industry history.",1
"Microsoft acquired the gaming company for $68.7 billion, making it the largest deal in gaming industry history. Sources confirm this story.",1
A new study in The Lancet found that regular exercise reduces the risk of developing depression by up to 30 percent.,1
Report: A new study in The Lancet found that regular exercise reduces the risk of developing depression by up to 30 percent.,1
A new study in The Lancet found that regular exercise reduces the risk of developing depression by up to 30 percent. Sources confirm this story.,1
The European Space Agency launched a new satellite to monitor sea level changes and ice sheet dynamics in unprecedented detail.,1
Report: The European Space Agency launched a new satellite to monitor sea level changes and ice sheet dynamics in unprecedented detail.,1
The European Space Agency launched a new satellite to monitor sea level changes and ice sheet dynamics in unprecedented detail. Sources confirm this story.,1
Pfizer reported that its updated COVID-19 booster shot was 73 percent effective at preventing hospitalization from the latest variant.,1
Report: Pfizer reported that its updated COVID-19 booster shot was 73 percent effective at preventing hospitalization from the latest variant.,1
Pfizer reported that its updated COVID-19 booster shot was 73 percent effective at preventing hospitalization from the latest variant. Sources confirm this story.,1
"Amazon reported a 9 percent increase in quarterly revenue, driven by growth in cloud computing and advertising services.",1
"Report: Amazon reported a 9 percent increase in quarterly revenue, driven by growth in cloud computing and advertising services.",1
"Amazon reported a 9 percent increase in quarterly revenue, driven by growth in cloud computing and advertising services. Sources confirm this story.",1
"The unemployment rate fell to 3.4 percent in January, the lowest level in more than 50 years according to Bureau of Labor Statistics data.",1
"Report: The unemployment rate fell to 3.4 percent in January, the lowest level in more than 50 years according to Bureau of Labor Statistics data.",1
"The unemployment rate fell to 3.4 percent in January, the lowest level in more than 50 years according to Bureau of Labor Statistics data. Sources confirm this story.",1
"Inflation slowed to 4 percent in May, down from a peak of 9.1 percent last June, according to the Consumer Price Index report.",1
